customer_id,customer_name,age,gender,related_purchases,job_title,job_industry_category,wealth_segment,owns_car,tenure
135,Rosalia-Sigart,46,Female,18,Internal Auditor,IT,Mass Customer,No,3
136,Mel-Bennet,48,Male,46,Senior Developer,Manufacturing,High Net Worth,Yes,7
137,Vaughn-Artin,34,Male,27,Office Assistant II,Property,High Net Worth,No,10
138,Onofredo-Franc,36,Male,5,Recruiter,Financial Services,Affluent Customer,Yes,13
140,Morrie-Flaxon,27,Male,9,Programmer Analyst III,Manufacturing,Mass Customer,No,2
141,Townsend-Trobe,67,Male,67,Teacher,Financial Services,High Net Worth,Yes,10
142,Bentley-Fortesquieu,54,Male,57,Quality Engineer,Health,Affluent Customer,No,17
143,Kendall-Figg,64,Male,19,Operator,Argiculture,Mass Customer,Yes,11
145,Filippo-Ferrara,24,Male,33,Account Executive,Financial Services,Mass Customer,No,4
146,Ricoriki-Matlock,36,Male,34,Quality Control Specialist,Manufacturing,Mass Customer,No,8
147,Rea-Pattrick,48,Female,32,Analog Circuit Design manager,Health,Mass Customer,Yes,10
149,Drucy-Kausche,26,Female,41,Research Nurse,Health,Mass Customer,Yes,1
150,Bradly-Crosse,38,Male,6,Cost Accountant,Financial Services,Affluent Customer,No,17
151,Donnie-Brimson,56,Male,36,Marketing Manager,Manufacturing,Mass Customer,Yes,13
152,Stephana-Cardew,40,Female,5,Compensation Analyst,Financial Services,Mass Customer,No,16
153,Lorilyn-Walshe,44,Female,73,Assistant Media Planner,Entertainment,Mass Customer,Yes,12
155,Orran-Bogges,35,Male,4,Quality Engineer,Manufacturing,Mass Customer,No,10
156,Shayla-Rimmington,42,Female,23,Cost Accountant,Financial Services,Mass Customer,Yes,11
157,Chad-Houtby,47,Male,97,Financial Advisor,Financial Services,Affluent Customer,No,16
159,Arin-Matskevich,34,Male,90,Research Nurse,Health,Affluent Customer,No,13
160,Wake-Durning,57,Male,5,Registered Nurse,Health,Mass Customer,No,18
162,Port-Acuna,42,Male,90,Nurse Practicioner,IT,Mass Customer,No,15
163,Kessia-Helder,45,Female,58,Librarian,Entertainment,High Net Worth,Yes,14
164,Aarika-Van Vuuren,22,Female,55,Senior Editor,Retail,Affluent Customer,Yes,1
165,Aldon-Roelofs,37,Male,61,Administrative Officer,Argiculture,Mass Customer,Yes,12
166,Elston-Oleszczak,66,Male,54,Structural Analysis Engineer,Manufacturing,Affluent Customer,No,6
169,Alfy-Bruhnke,64,Male,20,Data Coordiator,Telecommunications,High Net Worth,Yes,5
170,Jammal-Gever,46,Male,80,Pharmacist,Health,High Net Worth,No,21
171,Halli-Davidoff,51,Female,62,Assistant Manager,Manufacturing,Mass Customer,No,10
172,Hilton-Carney,33,Male,54,Editor,Manufacturing,Affluent Customer,Yes,6
173,Ebba-Hanselmann,24,Female,99,General Manager,Health,Affluent Customer,No,1
174,Catie-Tosspell,32,Female,93,Food Chemist,Health,Mass Customer,No,12
175,Templeton-Hambrook,46,Male,36,Quality Engineer,Manufacturing,Affluent Customer,No,5
176,Angelo-Clayal,29,Male,39,Accountant I,Property,Mass Customer,No,10
177,Ondrea-Pablos,32,Female,25,Professor,Financial Services,High Net Worth,No,4
179,Esteban-Sewill,55,Male,23,Environmental Tech,Manufacturing,High Net Worth,Yes,6
180,Trisha-Neasham,50,Female,16,Web Designer III,Argiculture,Affluent Customer,No,14
181,Pavla-Braunle,39,Female,49,Senior Editor,Manufacturing,Mass Customer,No,9
182,Lydon-Dahlman,29,Male,99,Sales Associate,Financial Services,Affluent Customer,Yes,7
183,Dannie-Hissie,24,Female,7,Geologist III,Retail,Affluent Customer,No,3
184,Nappie-Paolo,50,Male,40,Marketing Manager,Manufacturing,High Net Worth,Yes,7
186,Mireielle-Jeppe,47,Female,46,Software Test Engineer I,Financial Services,Mass Customer,No,3
188,Audry-Seine,46,Female,54,Safety Technician II,Property,High Net Worth,Yes,13
189,Umberto-Torricella,40,Male,73,Safety Technician I,Financial Services,Affluent Customer,No,10
190,Hayley-Girardengo,42,Female,42,Registered Nurse,Health,Affluent Customer,No,10
192,Goldi-Osler,43,Female,2,Junior Executive,Health,Mass Customer,Yes,8
193,Foss-Hardes,57,Male,13,Recruiting Manager,Manufacturing,Mass Customer,Yes,12
194,Ursala-Ferrai,47,Female,4,Web Developer III,Financial Services,Affluent Customer,No,10
195,Talyah-Rylatt,63,Female,34,Project Manager,Manufacturing,Mass Customer,No,6
196,Swen-Odhams,55,Male,90,Programmer Analyst II,Manufacturing,High Net Worth,No,6
198,Vanya-Gumb,40,Female,82,Assistant Media Planner,Entertainment,Mass Customer,No,16
199,Verla-Alven,43,Female,61,Junior Executive,Health,Mass Customer,Yes,21
200,Hube-Weald,64,Male,7,Physical Therapy Assistant,Property,Affluent Customer,Yes,19
201,Salem-Huie,55,Male,45,Design Engineer,Manufacturing,Mass Customer,Yes,11
202,Audie-Pillinger,58,Female,38,Librarian,Entertainment,Affluent Customer,Yes,16
203,Donovan-Conry,57,Male,71,Senior Quality Engineer,Argiculture,Mass Customer,Yes,11
204,Thorny-Hackworth,45,Male,56,Editor,Financial Services,Mass Customer,No,5
205,Rolfe-Kellard,63,Male,18,Administrative Assistant II,Financial Services,Mass Customer,Yes,6
208,Rutter-Excell,27,Male,57,Office Assistant III,Property,High Net Worth,No,5
210,Albrecht-Thomasson,58,Male,50,Assistant Manager,Property,Mass Customer,No,18
212,Nanice-Ellse,20,Female,21,Desktop Support Technician,IT,Affluent Customer,No,1
213,Lockwood-Exroll,25,Male,13,Actuary,Financial Services,High Net Worth,Yes,6
214,Jeramie-Cellier,64,Male,82,Food Chemist,Health,Mass Customer,No,6
215,Debera-Foxworthy,47,Female,37,Assistant Professor,Retail,High Net Worth,Yes,18
216,Cinderella-Parcall,26,Female,12,Quality Engineer,Financial Services,High Net Worth,Yes,7
218,Stefa-Dunnan,28,Female,37,Administrative Officer,Property,High Net Worth,Yes,8
219,Markus-Mughal,57,Male,9,Database Administrator III,Health,Mass Customer,No,7
220,Jeniffer-Apark,67,Female,79,Electrical Engineer,Manufacturing,High Net Worth,No,9
221,Mara-Bloore,41,Female,14,Tax Accountant,Manufacturing,Mass Customer,No,14
222,Nev-Larive,43,Male,89,Clinical Specialist,Health,Mass Customer,No,16
224,Morgun-Girvan,54,Male,2,Compensation Analyst,Financial Services,Affluent Customer,No,17
225,Brittaney-Pring,44,Female,84,Pharmacist,Health,Affluent Customer,No,13
226,Bondie-Letty,44,Male,96,Database Administrator IV,Manufacturing,Mass Customer,No,20
227,Wendall-McKeand,48,Male,99,Accountant I,Entertainment,Mass Customer,No,18
228,Lucia-Pickervance,35,Female,59,Systems Administrator II,Manufacturing,High Net Worth,No,12
230,Maegan-Scyone,67,Female,74,Internal Auditor,Property,High Net Worth,No,11
231,Basile-Winsor,26,Male,48,Design Engineer,Financial Services,Mass Customer,Yes,3
232,Zaria-Koeppke,34,Female,94,Professor,Retail,Mass Customer,No,12
233,Art-Barwell,35,Male,34,Environmental Tech,Property,Mass Customer,No,13
234,Mead-Alpes,52,Female,71,Chief Design Engineer,Retail,High Net Worth,No,12
235,Leona-Phateplace,44,Female,30,Social Worker,Health,Mass Customer,No,15
236,Tybalt-Gillingwater,67,Male,79,Research Nurse,Health,Affluent Customer,No,14
237,Reginald-Dartan,47,Male,18,Account Coordinator,Property,High Net Worth,Yes,11
239,Wells-Pressman,29,Male,62,Registered Nurse,Health,Affluent Customer,No,3
240,Gavin-Fawks,32,Male,49,Administrative Assistant III,IT,High Net Worth,Yes,15
241,Quillan-Duigan,34,Male,94,Quality Engineer,Entertainment,Mass Customer,No,20
242,Taite-Droghan,29,Male,17,Nurse,Property,Affluent Customer,No,8
243,Barbara-Croxley,45,Female,94,Teacher,Manufacturing,High Net Worth,Yes,14
245,Noell-Grahlmans,20,Female,6,Associate Professor,Financial Services,Affluent Customer,No,1
246,Binny-Whight,30,Female,63,Technical Writer,Manufacturing,High Net Worth,No,9
247,Kristal-Joysey,38,Female,62,Staff Accountant II,Financial Services,High Net Worth,Yes,13
248,Inger-Eskell,43,Female,76,Clinical Specialist,Health,Affluent Customer,Yes,12
249,D'arcy-Slay,29,Male,65,Quality Control Specialist,IT,High Net Worth,No,9
252,Anthea-Ruskin,38,Female,39,Account Coordinator,Property,Mass Customer,Yes,13
253,Amalee-Choak,24,Female,82,Food Chemist,Health,Mass Customer,Yes,1
254,Barbie-Rubi,60,Female,98,Information Systems Manager,Retail,Mass Customer,No,14
255,Keeley-Kruger,67,Female,2,Desktop Support Technician,IT,Mass Customer,No,5
256,Linell-Beadle,46,Female,16,Director of Sales,Health,High Net Worth,Yes,21
258,Othella-Keher,29,Female,24,Administrative Officer,Manufacturing,High Net Worth,No,9
259,Venita-Dymick,38,Female,70,Senior Developer,Health,High Net Worth,Yes,3
260,Farand-Marriner,42,Female,47,Senior Quality Engineer,Health,High Net Worth,Yes,22
263,Tonia-Leigh,36,Female,89,Dental Hygienist,Health,High Net Worth,No,7
264,Jedd-Spiby,44,Male,31,Technical Writer,Health,Mass Customer,No,11
265,Pennie-Stoile,56,Male,74,Sales Representative,Retail,High Net Worth,Yes,18
266,Lelia-Garatty,32,Female,69,Account Executive,Retail,Affluent Customer,No,18
268,Kacie-Kidston,43,Female,60,Chemical Engineer,Manufacturing,Mass Customer,No,10
269,Zacherie-Grindley,67,Male,55,Nurse Practicioner,Property,Mass Customer,Yes,9
271,Doll-Burtwell,30,Female,51,Financial Advisor,Financial Services,Mass Customer,No,4
272,Arlie-Crean,34,Female,22,Product Engineer,Retail,Mass Customer,Yes,1
274,Tessi-Hesse,45,Female,66,Social Worker,Health,Mass Customer,Yes,14
279,Tamera-Hinckes,40,Female,0,Web Designer I,Manufacturing,Mass Customer,No,11
281,Jeanette-Sizzey,48,Female,51,Cost Accountant,Financial Services,High Net Worth,Yes,8
282,Lauren-Curcher,32,Male,82,VP Quality Control,Argiculture,High Net Worth,Yes,11
283,Sari-Noye,30,Female,34,Assistant Manager,Retail,Mass Customer,No,2
284,Seth-Moorman,35,Male,38,Financial Analyst,Financial Services,High Net Worth,Yes,9
285,Julee-Janovsky,44,Female,3,Community Outreach Specialist,Manufacturing,Mass Customer,No,12
286,Kiley-Canaan,32,Male,99,Accounting Assistant II,Manufacturing,Affluent Customer,Yes,11
287,Hannie-Wodham,36,Female,41,Nuclear Power Engineer,Manufacturing,Affluent Customer,No,4
289,Modestia-Lithgow,51,Female,43,Clinical Specialist,Health,High Net Worth,No,10
291,Aime-Burston,50,Female,63,Assistant Media Planner,Entertainment,Mass Customer,No,4
293,Virgilio-Willcocks,32,Male,80,Administrative Assistant III,Manufacturing,Mass Customer,Yes,20
297,Cecile-MacLise,62,Female,33,Electrical Engineer,Manufacturing,High Net Worth,No,16
298,Maurise-Lenglet,65,Male,69,Engineer I,Manufacturing,High Net Worth,No,9
299,Corabelle-Hartnell,65,Female,80,Budget/Accounting Analyst I,Financial Services,Mass Customer,Yes,7
300,Malachi-Hadcroft,65,Male,88,Clinical Specialist,Health,Mass Customer,No,9
301,Hildy-Bilbrook,41,Female,54,Developer IV,Manufacturing,High Net Worth,No,19
303,Shane-Smetoun,47,Female,59,Assistant Professor,Argiculture,Mass Customer,Yes,14
304,Paddy-Mumbray,52,Male,36,VP Marketing,Manufacturing,Mass Customer,Yes,15
305,Cris-Chellam,47,Female,1,Financial Analyst,Financial Services,Mass Customer,No,11
306,Ruy-Adanet,48,Male,19,Registered Nurse,Health,High Net Worth,No,18
307,Ruben-Handlin,37,Male,55,Clinical Specialist,Health,Affluent Customer,Yes,12
308,Iver-Dobsons,38,Male,2,Database Administrator I,IT,High Net Worth,No,4
309,Maurizia-Ligerton,47,Female,53,Clinical Specialist,Health,Mass Customer,Yes,21
310,Myranda-Clowser,36,Female,0,Account Coordinator,Financial Services,Mass Customer,Yes,18
311,Jaimie-Halms,64,Female,86,Internal Auditor,Health,High Net Worth,No,12
312,Garek-Prattin,63,Male,44,Desktop Support Technician,Financial Services,Affluent Customer,Yes,6
313,Theo-McKune,34,Male,70,Operator,Manufacturing,Mass Customer,Yes,13
314,Catie-Advani,59,Female,27,Marketing Assistant,Retail,High Net Worth,Yes,5
315,Lisa-Odlin,63,Female,67,Chief Design Engineer,Manufacturing,Affluent Customer,No,12
316,Genni-Larway,45,Female,72,Environmental Specialist,Manufacturing,Mass Customer,Yes,10
317,Elicia-Dahler,47,Female,26,Automation Specialist II,Entertainment,Mass Customer,Yes,14
318,Libbie-Castelin,52,Female,21,Programmer III,Retail,Affluent Customer,Yes,18
320,Aldous-Cubin,24,Male,19,Registered Nurse,Health,Mass Customer,No,4
322,De-Denington,44,Female,19,Research Associate,Financial Services,Mass Customer,Yes,11
323,Celka-Goodrich,48,Female,54,Senior Developer,Health,Mass Customer,Yes,7
324,Franz-Lyptrit,35,Male,97,Computer Systems Analyst I,IT,Mass Customer,Yes,15
325,Anthia-Ghilardini,50,Female,98,Computer Systems Analyst I,Financial Services,Affluent Customer,Yes,17
326,Guenna-Spensly,41,Female,74,Help Desk Operator,Financial Services,Mass Customer,No,6
327,Cris-Richfield,53,Female,10,Design Engineer,Health,Mass Customer,No,12
328,Bernice-Kings,30,Female,87,Senior Developer,Manufacturing,Mass Customer,No,12
329,Garvy-Berthel,37,Male,25,Account Representative IV,Entertainment,High Net Worth,Yes,12
330,Port-Pancost,62,Male,78,Recruiting Manager,Manufacturing,High Net Worth,Yes,7
331,Ford-Groucock,23,Male,87,Desktop Support Technician,Health,Mass Customer,Yes,3
332,Liza-Trouel,43,Female,23,Registered Nurse,Health,High Net Worth,No,14
333,Debbi-Doohey,56,Female,25,Sales Associate,Financial Services,Affluent Customer,Yes,8
334,Fredi-Iannuzzelli,22,Female,71,Financial Advisor,Financial Services,Affluent Customer,Yes,3
337,Shaylah-Urquhart,42,Female,67,Statistician IV,Argiculture,High Net Worth,Yes,12
339,Nanny-Casero,41,Female,56,Human Resources Manager,Health,Mass Customer,No,12
341,Jeremiah-Wasling,45,Male,10,GIS Technical Architect,Financial Services,Mass Customer,No,5
342,Winslow-Hammant,34,Male,40,Programmer IV,Health,High Net Worth,No,2
343,Nicole-Johananoff,64,Female,76,Recruiter,Property,Affluent Customer,No,13
345,Tish-Oleksiak,32,Female,74,Senior Sales Associate,Health,High Net Worth,Yes,17
346,Timmie-Eisikowitz,40,Male,68,Financial Analyst,Financial Services,Mass Customer,No,3
347,Berkly-Grishinov,56,Male,50,Marketing Manager,Financial Services,Mass Customer,No,9
348,Gan-Devoy,41,Male,20,Assistant Professor,Retail,Mass Customer,Yes,9
349,Vinnie-Usherwood,40,Female,35,Computer Systems Analyst IV,Manufacturing,High Net Worth,No,4
350,Carmela-Jesper,44,Female,47,Clinical Specialist,Health,Mass Customer,Yes,9
351,Dev-Hafner,22,Male,69,Pharmacist,Health,Mass Customer,Yes,2
352,Orrin-Finding,42,Male,12,Sales Representative,Retail,Mass Customer,No,4
354,Mavra-Donavan,41,Female,87,Legal Assistant,Property,Mass Customer,No,9
355,Stacy-Gullane,42,Female,97,Database Administrator II,Retail,Mass Customer,Yes,3
359,Dulcine-Gauson,63,Female,2,Legal Assistant,Manufacturing,Affluent Customer,Yes,6
360,Atalanta-Starbucke,65,Female,64,Staff Scientist,Property,Mass Customer,Yes,19
361,Stephana-Minero,22,Female,59,Software Engineer IV,Health,Mass Customer,Yes,2
362,Jamima-Pirolini,47,Female,47,Software Engineer IV,Financial Services,High Net Worth,Yes,18
363,Sabrina-Caddy,33,Female,82,Project Manager,Retail,Mass Customer,Yes,7
364,Leontyne-Simpkiss,45,Female,96,Database Administrator III,Financial Services,Affluent Customer,No,11
365,Romona-Capitano,45,Female,98,VP Quality Control,Property,High Net Worth,No,15
366,Constance-Ucchino,67,Female,7,Librarian,Entertainment,High Net Worth,No,19
367,Katrinka-Sturrock,36,Female,93,Programmer II,Manufacturing,Mass Customer,Yes,12
369,Alic-Trenear,30,Male,19,Actuary,Financial Services,Mass Customer,Yes,9
371,Pernell-Favelle,67,Male,7,Systems Administrator III,Financial Services,Mass Customer,No,7
372,Moina-Thumim,34,Female,19,Graphic Designer,Property,Affluent Customer,Yes,4
373,Eva-Colenutt,21,Female,95,Structural Analysis Engineer,Health,High Net Worth,Yes,1
374,Valdemar-MacCoughen,29,Male,81,Senior Financial Analyst,Financial Services,Mass Customer,Yes,8
375,Salvidor-Renzo,45,Male,13,Automation Specialist II,Manufacturing,Mass Customer,Yes,7
376,Marena-Brunotti,55,Female,60,Financial Advisor,Financial Services,Mass Customer,Yes,19
377,Levy-Bonavia,22,Male,65,Staff Scientist,Argiculture,Mass Customer,No,1
378,Raquela-Yuille,47,Female,98,Senior Developer,Retail,Mass Customer,No,17
380,Teriann-Birdsey,65,Female,66,Structural Engineer,Property,Mass Customer,No,17
382,Issiah-Fardell,36,Male,68,Research Nurse,Health,Mass Customer,Yes,7
385,Kendall-Humes,55,Male,69,Project Manager,Health,High Net Worth,No,9
386,Ethelyn-Pincott,31,Female,63,Senior Quality Engineer,Argiculture,Mass Customer,No,5
387,Spike-Thieme,44,Male,34,Administrative Officer,Financial Services,Mass Customer,No,22
389,Dorene-Scrivner,46,Female,97,Help Desk Operator,Entertainment,Affluent Customer,Yes,17
390,Royall-Slimings,24,Male,83,Programmer Analyst II,Health,Affluent Customer,No,3
392,Brandyn-Morrid,43,Male,38,Safety Technician I,Property,Mass Customer,No,13
393,Cesaro-Isbell,66,Male,35,Associate Professor,Manufacturing,Mass Customer,Yes,9
394,Roanne-Cowthard,44,Female,70,Legal Assistant,Health,High Net Worth,Yes,16
395,Penn-Burkinshaw,45,Male,28,Data Coordiator,Retail,High Net Worth,Yes,9
396,Peria-Iscowitz,54,Female,98,Systems Administrator III,Telecommunications,High Net Worth,Yes,16
397,Nerissa-Foote,40,Female,86,Paralegal,Financial Services,Affluent Customer,Yes,5
399,Nickie-Neissen,45,Male,26,Engineer III,Manufacturing,Affluent Customer,Yes,16
400,Sibeal-Fellow,59,Female,86,Financial Analyst,Financial Services,Mass Customer,No,5
401,Halette-Helling,35,Female,56,Assistant Professor,Retail,Mass Customer,No,15
402,Berne-Donegan,44,Male,9,Desktop Support Technician,Retail,Affluent Customer,No,22
404,Sinclair-Sustins,26,Male,92,Geologist I,Financial Services,Affluent Customer,Yes,4
406,Rhona-Spilsburie,34,Female,58,Financial Analyst,Financial Services,High Net Worth,No,12
408,Kurtis-Baistow,30,Male,79,Senior Financial Analyst,Financial Services,Affluent Customer,No,11
409,Tatiania-O'Kane,43,Female,84,Executive Secretary,Health,Mass Customer,Yes,13
411,Cathyleen-Bern,44,Female,84,Director of Sales,Financial Services,High Net Worth,No,12
414,Thorin-Grimoldby,45,Male,12,Social Worker,Health,High Net Worth,No,10
415,Conchita-Jeans,66,Female,20,Senior Financial Analyst,Financial Services,Affluent Customer,Yes,18
417,Fernandina-Brambley,50,Female,37,Biostatistician IV,Argiculture,Mass Customer,No,15
419,Chrissie-Bernardini,40,Female,34,VP Marketing,Manufacturing,Affluent Customer,No,17
420,Clem-Leek,63,Male,93,Help Desk Operator,Entertainment,High Net Worth,No,7
